date,status,ahr999,btc_price,planned_invest_usdt,executed_invest_usdt,executed_btc_amount,cum_invest_usdt,cum_btc_amount,portfolio_value_usdt,pnl_usdt,pnl_ratio,benchmark_btc_amount,benchmark_value_usdt,benchmark_pnl_usdt,benchmark_pnl_ratio,alpha_usdt,alpha_ratio,run_time_utc,note
2026-02-20,failed,0.3240051150,67285.7000000000,18.0523316505,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,2026-02-20T01:08:23Z,insufficient_balance
2026-02-21,success,0.3302285719,67872.9000000000,17.4940810433,17.4940810433,0.0002577477,17.4940810433,0.0002577477,17.4940838673,0.0000028240,0.0000001614,0.0002577477,17.4940810433,0.0000000000,0.0000000000,0.0000028240,0.0000001614,2026-02-21T01:06:41Z,
2026-02-22,success,0.3323843409,68038.0000000000,17.3059724610,17.3059724610,0.0002543575,34.8000535043,0.0005121052,34.8426135976,0.0425600933,0.0012229893,0.0005121051,34.8426076427,0.0425541384,0.0012228182,0.0000059549,0.0000001711,2026-02-22T01:11:35Z,
2026-02-23,success,0.3084310076,65455.6000000000,19.5560005002,19.5560005002,0.0002987674,54.3560540045,0.0008108726,53.0761525566,-1.2799014479,-0.0235466218,0.0008108725,53.0761479004,-1.2799061041,-0.0235467075,0.0000046561,0.0000000857,2026-02-23T01:11:15Z,
2026-02-24,success,0.3016051273,64681.6000000000,20.2676303410,20.2676303410,0.0003133446,74.6236843455,0.0011242172,72.7161672435,-1.9075171020,-0.0255618189,0.0011242171,72.7161629041,-1.9075214414,-0.0255618770,0.0000043394,0.0000000582,2026-02-24T01:09:37Z,
2026-02-26,failed,0.3357096414,68114.6000000000,0.1702094092,0.0000000000,0.0000000000,74.6236843455,0.0011242172,76.5756048911,1.9519205456,0.0261568504,0.0011242171,76.5756003214,1.9519159759,0.0261567891,0.0000045697,0.0000000612,2026-02-26T09:10:22Z,order_amount_too_small
2026-02-27,success,0.3328833211,67755.4000000000,17.2628082175,17.2628082175,0.0000000000,91.8864925630,0.0011242172,76.1717860729,-15.7147064901,-0.1710230313,0.0013789984,93.4345897447,1.5480971817,0.0168479299,-17.2628036719,-0.1878709611,2026-02-27T06:04:25Z,
2026-02-28,success,0.3157097242,65907.1000000000,18.8334035063,18.8334035063,0.0000000000,110.7198960693,0.0011242172,74.0938954221,-36.6260006472,-0.3307987268,0.0016647552,109.7191904659,-1.0007056034,-0.0090381733,-35.6252950438,-0.3217605535,2026-02-28T01:02:18Z,
2026-03-01,success,0.3187759467,66153.5000000000,18.5395981059,18.5395981059,0.0000000000,129.2594941752,0.0011242172,74.3709025402,-54.8885916350,-0.4246387624,0.0019450065,128.6689842644,-0.5905099108,-0.0045684065,-54.2980817242,-0.4200703559,2026-03-01T01:17:16Z,
2026-03-02,success,0.3255194911,66781.3000000000,17.9143676698,17.9143676698,0.0000000000,147.1738618450,0.0011242172,75.0766860984,-72.0971757466,-0.4898775832,0.0022132607,147.8044269842,0.6305651392,0.0042844914,-72.7277408859,-0.4941620745,2026-03-02T01:09:43Z,
2026-03-03,success,0.3497860336,69164.8000000000,15.8794370829,15.8794370829,0.0000000000,163.0532989279,0.0011242172,77.7562577946,-85.2970411333,-0.5231236761,0.0024428491,168.9591709527,5.9058720248,0.0362205001,-91.2029131582,-0.5593441762,2026-03-03T01:11:44Z,
2026-03-04,success,0.3405225901,68175.1000000000,16.6190818649,16.6190818649,0.0000000000,179.6723807928,0.0011242172,76.6436200317,-103.0287607611,-0.5734257002,0.0026866197,183.1605650416,3.4881842488,0.0194141372,-106.5169450099,-0.5928398374,2026-03-04T01:08:01Z,
2026-03-05,success,0.3917114338,73065.2000000000,13.0087863664,13.0087863664,0.0000000000,192.6811671592,0.0011242172,82.1411545614,-110.5400125978,-0.5736939122,0.0028646632,209.3071902833,16.6260231241,0.0862877435,-127.1660357219,-0.6599816557,2026-03-05T01:10:27Z,
2026-03-06,success,0.3645973398,70439.9000000000,14.7819512255,14.7819512255,0.0000000000,207.4631183847,0.0011242172,79.1897471463,-128.2733712384,-0.6182948190,0.0030745152,216.5685411868,9.1054228021,0.0438893567,-137.3787940405,-0.6621841757,2026-03-06T06:28:32Z,
2026-03-09,success,0.3328958744,67154.8000000000,17.2617241048,17.2617241048,0.0000000000,224.7248424895,0.0011242172,75.4965812226,-149.2282612669,-0.6640487968,0.0033315590,223.7301755036,-0.9946669859,-0.0044261550,-148.2335942811,-0.6596226418,2026-03-09T07:17:39Z,
2026-03-10,success,0.3533370996,69099.1000000000,15.6071105652,15.6071105652,0.0000000000,240.3319530547,0.0011242172,77.6823967245,-162.6495563302,-0.6767704180,0.0035574246,245.8148361506,5.4828830959,0.0228137916,-168.1324394261,-0.6995842096,2026-03-10T01:04:45Z,
2026-03-11,success,0.3641173801,70091.0000000000,14.8159794212,14.8159794212,0.0000000000,255.1479324759,0.0011242172,78.7975077652,-176.3504247107,-0.6911693267,0.0037688066,264.1594250034,9.0114925275,0.0353186970,-185.3619172382,-0.7264880238,2026-03-11T01:05:46Z,
2026-03-12,success,0.3643173510,70068.2000000000,14.8017898793,14.8017898793,0.0000000000,269.9497223552,0.0011242172,78.7718756130,-191.1778467422,-0.7081979751,0.0039800549,278.8752860917,8.9255637365,0.0330638004,-200.1034104787,-0.7412617755,2026-03-12T01:03:13Z,
2026-03-13,failed,0.3808786960,71594.9000000000,13.6835918321,0.0000000000,0.0000000000,269.9497223552,0.0011242172,80.4882180123,-189.4615043429,-0.7018399674,0.0039800549,284.9516359805,15.0019136253,0.0555729915,-204.4634179682,-0.7574129589,2026-03-13T05:56:21Z,insufficient_balance
2026-03-14,success,0.3722796982,70732.0000000000,14.2504417778,14.2504417778,0.0000000000,284.2001641330,0.0011242172,79.5181309904,-204.6820331426,-0.7202037823,0.0041815259,295.7676883439,11.5675242109,0.0407020321,-216.2495573535,-0.7609058144,2026-03-14T01:07:46Z,
2026-03-15,success,0.3754536193,70987.1000000000,14.0378620221,14.0378620221,0.0000000000,298.2380261551,0.0011242172,79.8049187981,-218.4331073570,-0.7324119938,0.0043792782,310.8722576172,12.6342314621,0.0423629127,-231.0673388191,-0.7747749065,2026-03-15T01:19:39Z,
2026-03-16,success,0.3911063208,72407.8000000000,13.0453811050,13.0453811050,0.0000000000,311.2834072601,0.0011242172,81.4020941742,-229.8813130859,-0.7384952353,0.0045594436,330.1392792231,18.8558719630,0.0605746131,-248.7371850489,-0.7990698484,2026-03-16T01:19:11Z,
2026-03-17,success,0.4276809201,75671.7000000000,11.0416747123,11.0416747123,0.0000000000,322.3250819724,0.0011242172,85.0714266932,-237.2536552792,-0.7360694794,0.0047053591,356.0625218529,33.7374398805,0.1046689872,-270.9910951596,-0.8407384666,2026-03-17T01:10:46Z,
